window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
73,134338781.9947043,136738781.9947043,134578781.9947043,136498781.9947043,2026-07-09T22:54:37.139493+00:00,135538781.9947043,34.33112662921433,33.51016629682926,-20.838673606808896,49.587300215496484,134950061.2915793,15.256173586282152,146.484375,16384,2400000.0,0.0
74,135874598.41129744,138274598.41129744,136114598.41129744,138034598.41129744,2026-07-09T22:54:37.198197+00:00,137074598.41129744,34.31946140814719,33.49923728197801,-9.346243983625229,47.614229555912914,137855946.06754744,13.294768147765723,146.484375,16384,2400000.0,0.0
75,137410414.82789055,139810414.82789055,137650414.82789055,139570414.82789055,2026-07-09T22:54:37.259537+00:00,138610414.82789055,34.04828370459584,33.24930061710637,-18.91979526967774,56.81205976618263,139200014.43726555,22.76377606158679,146.484375,16384,2400000.0,0.0
76,138946231.24448365,141346231.24448365,139186231.24448365,141106231.24448365,2026-07-09T22:54:37.318764+00:00,140146231.24448365,33.82309413777,32.92526647262535,-5.2898361161358345,56.16166188431208,139199942.18198365,22.338567746542083,146.484375,16384,2400000.0,0.0
77,140482047.66107678,142882047.66107678,140722047.66107678,142642047.66107678,2026-07-09T22:54:37.378105+00:00,141682047.66107678,33.585494857734844,32.652422243756064,-6.430651322454014,47.0690010801301,141843912.89545178,13.483506222395256,146.484375,16384,2400000.0,0.0
78,142017864.07766992,144417864.07766992,142257864.07766992,144177864.07766992,2026-07-09T22:54:37.437518+00:00,143217864.07766992,31.184573968172124,30.334101985578624,-4.585337815066613,76.15850718454384,143999944.15579492,44.97393321637171,146.484375,16384,2400000.0,0.0
79,143553680.494263,145953680.494263,143793680.494263,145713680.494263,2026-07-09T22:54:37.494731+00:00,144753680.494263,31.355127436687667,30.51642676870832,-9.984161406425265,75.87736163560778,144000018.384888,44.52223419892012,146.484375,16384,2400000.0,0.0
80,145089496.91085613,147489496.91085613,145329496.91085613,147249496.91085613,2026-07-09T22:54:37.554877+00:00,146289496.91085613,34.42899687642254,33.574482758505,-0.968840502569329,48.09177867653966,147156244.95773113,13.662781800117124,146.484375,16384,2400000.0,0.0
81,146625313.32744926,149025313.32744926,146865313.32744926,148785313.32744926,2026-07-09T22:54:37.613058+00:00,147825313.32744926,34.123129968206115,33.2639138427409,-11.123790975369815,55.79694684959213,148800020.35869926,21.673816881386017,146.484375,16384,2400000.0,0.0
82,148161129.74404234,150561129.74404234,148401129.74404234,150321129.74404234,2026-07-09T22:54:37.671552+00:00,149361129.74404234,33.66881565892274,32.71495007253882,-17.47324320444388,58.930157672352294,148799948.10341734,25.261342013429555,146.484375,16384,2400000.0,0.0
