Frequency,Service,System,Site,License,County,State
444.8,HAM,W4RKZ 444.8 - HAM,-,-,Jefferson,AL
444.825,HAM,AG4ZV 444.825 - HAM,-,-,Jefferson,AL
444.925,HAM,KC4SIG 444.925 - HAM,-,-,Jefferson,AL
444.975,HAM,WA4CYA 444.975 - HAM,-,-,Jefferson,AL
450.01,RP,Birmingham (Wabm-Tv) Licensee Inc,-,-,Jefferson,AL
450.0875,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
450.1125,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
450.15,RP,Nexstar Media Inc.,-,-,Jefferson,AL
450.1625,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
450.2975,RP,Ttwn Networks Llc,-,-,Jefferson,AL
450.3325,RP,Ttwn Networks Llc,-,-,Jefferson,AL
450.35,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
450.4125,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
450.5625,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
450.6025,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
450.6125,RP,"RADIO LICENSE HOLDING CBC, LLC",-,-,Jefferson,AL
450.65,RP,Gray Television Licensee Llc,-,-,Jefferson,AL
450.98,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
451.025,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
451.0375,IG,Kamstrup Water Metering Llc,-,-,Jefferson,AL
451.0875,YG,Cmc Steel Alabama,-,-,Jefferson,AL
451.1,IG,Indycar Llc,-,-,Jefferson,AL
451.1125,YG,Cmc Steel Alabama,-,-,Jefferson,AL
451.1375,YG,Cmc Steel Alabama,-,-,Jefferson,AL
451.1875,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
451.2,IG,Indycar Llc,-,-,Marion,AL
451.2125,YG,Cmc Steel Alabama,-,-,Jefferson,AL
451.225,IG,Bear Communications Inc,-,-,Jefferson,AL
451.2625,IG,Spire - Alabama,-,-,Shelby,AL
451.275,IG,Bear Communications Inc,-,-,Jefferson,AL
451.3,IG,Blue Cross Blue Shield Of Alabama,-,-,Montgomery,AL
451.325,IG,Metal Services,-,-,Jefferson,AL
451.35,IG,Bear Communications Inc,-,-,Jefferson,AL
451.3875,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
451.4,IG,Mountain Brook Club,-,-,Jefferson,AL
451.4125,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
451.4375,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
451.4875,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
451.5,YG,Mobile Communications America Inc,-,-,Jefferson,AL
451.5375,IG,Vulcan Industrial Contractors Inc,-,-,Jefferson,AL
451.5875,IG,Nucor Steel Birmingham Inc,-,-,Jefferson,AL
451.6,IG,Bear Communications Inc,-,-,Jefferson,AL
451.65,IG,Gardendale First Baptist Church,-,-,Jefferson,AL
451.6875,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
451.7,YG,American Cast Iron Pipe Company,-,-,Jefferson,AL
451.725,IG,Gardendale First Baptist Church,-,-,Jefferson,AL
451.7375,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
451.75,IG,Gardendale First Baptist Church,-,-,Jefferson,AL
451.8,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
451.8125,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
451.825,YG,Bear Communications Inc,-,-,Jefferson,AL
451.8625,IG,Amerex Corporation,-,-,Jefferson,AL
451.875,YG,Mobile Communications America Inc,-,-,Jefferson,AL
451.8875,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
451.9,IG,Crimson Oak Grove Resources Llc,-,-,Jefferson,AL
451.925,YG,Kamtek,-,-,Jefferson,AL
451.9375,YG,Kamtek,-,-,Jefferson,AL
451.95,IG,Gardendale First Baptist Church,-,-,Jefferson,AL
451.9625,IG,Crimson Oak Grove Resources Llc,-,-,Jefferson,AL
452,IG,Hoar Construction,-,-,Jefferson,AL
452.075,IG,Glenwood Inc,-,-,Jefferson,AL
452.1,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
452.1125,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
452.15,YG,Bear Communications Inc,-,-,Jefferson,AL
452.1625,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
452.175,IG,Amerex Corporation,-,-,Jefferson,AL
452.2125,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
452.225,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
452.2375,IG,At&T Services Inc,-,-,Jefferson,AL
452.25,YG,American Cast Iron Pipe Company,-,-,Jefferson,AL
452.2625,YG,Mobile Communications America Inc,-,-,Jefferson,AL
452.2875,IG,Blue Cross Blue Shield Of Alabama,-,-,Jefferson,AL
452.325,IG,Csx Transportation Inc,-,-,Jefferson,AL
452.35,YG,Mobile Communications America Inc,-,-,Jefferson,AL
452.375,IG,Csx Transportation Inc,-,-,Montgomery,AL
452.4,YG,Bear Communications Inc,-,-,Jefferson,AL
452.425,IG,Csx Transportation Inc,-,-,Jefferson,AL
452.4375,IG,Nucor Steel Birmingham Inc.,-,-,Jefferson,AL
452.45,IG,North Plaza Al,-,-,Jefferson,AL
452.4625,YG,Mobile Communications America Inc,-,-,Jefferson,AL
452.475,IG,Galleria Shopping Center: Housekeeping - Galleria Shopping Center: Housekeeping,-,-,Jefferson,AL
452.4875,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
452.5125,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
452.525,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
452.5375,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
452.55,IG,Amerex Corporation,-,-,Jefferson,AL
452.5625,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
452.575,IG,Amerex Corporation,-,-,Jefferson,AL
452.5875,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
452.6,IG,Amerex Corporation,-,-,Jefferson,AL
452.6125,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
452.625,YG,American Cast Iron Pipe Company,-,-,Jefferson,AL
452.6625,IG,Blue Cross Blue Shield Of Alabama,-,-,Jefferson,AL
452.675,IG,Amerex Corporation,-,-,Jefferson,AL
452.6875,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
452.7125,IG,American Cast Iron Pipe,-,-,Jefferson,AL
452.725,IG,Bear Communications Inc,-,-,Jefferson,AL
452.7375,YG,Mobile Communications America Inc,-,-,Jefferson,AL
452.75,IG,Blue Cross Blue Shield Of Alabama,-,-,Madison,AL
452.7625,IG,American Cast Iron Pipe,-,-,Jefferson,AL
452.775,IG,Csx Transportation Inc,-,-,Jefferson,AL
452.8125,IG,Mcwane Science Center,-,-,Jefferson,AL
